2bwm 0.2-2
nghttp2 1.19.0-1
ninja 1.7.2-1
nmap 7.40-1
nodejs 7.5.0-1
notmuch-runtime 0.23.5-1
noto-fonts 20170112-1
npm 4.2.0-1
npth 1.3-1
nspr 4.13.1-1
nss 3.28.1-1
nvidia 375.26-6
nvidia-cg-toolkit 3.1-4
nvidia-utils 375.26-2
ocl-icd 2.2.10-1
openal 1.17.2-2
opencl-headers 2:2.1.20151224-1
opencl-mesa 13.0.4-1
opencl-nvidia 375.26-2
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjdk8-doc 8.u121-1
openjpeg2 2.1.2-2
openresolv 3.8.1-1
openssh 7.4p1-2
openssl 1.0.2.k-1
openvpn 2.4.0-2
opus 1.1.4-1
orc 0.4.26-2
p11-kit 0.23.2-1
p7zip 16.02-3
pacaur 4.7.3-1
pacman 5.0.1-4
pacman-mirrorlist 20170211-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-2
pangomm 2.40.1-1
parted 3.2-5
patch 2.7.5-1
pciutils 3.5.2-1
pcmciautils 018-7
pcre 8.40-1
pcre2 10.22-2
pcsx2 1.4.0-4
perl 5.24.1-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
perl-uri 1.71-1
perl-xml-parser 2.44-3
phallus-fonts-git 162.83589de-1
phonon-qt5 4.9.1-1
phonon-qt5-gstreamer 4.9.0-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkcs11-helper 1.21-1
pkg-config 0.29.1-2
polkit 0.113+29+g3272a98-1
polkit-qt5 0.112.0+git20160226-1
polybar-git 3.0.4.r1.g1d06df2-1
poppler 0.51.0-1
poppler-glib 0.51.0-1
poppler-qt5 0.51.0-1
popt 1.16-8
portaudio 190600_20161030-1
potrace 1.13-1
powertop 2.8-2
printproto 1.0.5-3
procps-ng 3.3.12-1
protobuf 3.2.0-1
psmisc 22.21-3
pygobject2-devel 2.28.6-13
pygtk 2.24.0-6
pyqt5-common 5.7.1-3
python 3.6.0-2
python-appdirs 1.4.0-5
python-click 6.7-1
python-colorama 0.3.7-2
python-decorator 4.0.11-1
python-docutils 0.13.1-2
python-greenlet 0.4.12-1
python-jinja 2.9.5-1
python-markupsafe 0.23-4
python-msgpack 0.4.8-2
python-neovim 0.1.13-1
python-packaging 16.8-2
python-pip 9.0.1-2
python-psutil 5.1.3-1
python-pygments 2.2.0-1
python-pyparsing 2.1.10-2
python-pypeg2 2.15.2-2
python-pyqt5 5.7.1-3
python-setuptools 1:34.2.0-1
python-sip 4.19-1
python-six 1.10.0-3
python-xdg 0.25-4
python-yaml 3.12-2
python2 2.7.13-1
python2-appdirs 1.4.0-5
python2-cairo 1.10.0-2
python2-cffi 1.9.1-2
python2-cryptography 1.7.2-1
python2-enum34 1.1.6-1
python2-gobject2 2.28.6-13
python2-idna 2.2-2
python2-ipaddress 1.0.18-1
python2-packaging 16.8-2
python2-paramiko 2.1.1-2
python2-pexpect 4.2.1-2
python2-ply 3.10-1
python2-ptyprocess 0.5.1-2
python2-pyasn1 0.2.2-1
python2-pycparser 2.17-2
python2-pyparsing 2.1.10-2
python2-setuptools 1:34.2.0-1
python2-six 1.10.0-3
qt4 4.8.7-12
qt5-base 5.8.0-5
qt5-declarative 5.8.0-1
qt5-location 5.8.0-1
qt5-multimedia 5.8.0-1
qt5-script 5.8.0-1
qt5-sensors 5.8.0-1
qt5-speech 5.8.0-2
qt5-svg 5.8.0-1
qt5-tools 5.8.0-1
qt5-webchannel 5.8.0-1
qt5-webengine 5.8.0-2
qt5-webkit 5.8.0-1
qt5-x11extras 5.8.0-1
qt5-xmlpatterns 5.8.0-1
qutebrowser-git r11235.3de2bfb27-1
randrproto 1.5.0-1
ranger 1.8.1-1
raptor 2.0.15-5
rasqal 1:0.9.33-1
re2 20170101-1
readline 7.0.003-1
recode 3.6-9
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rfkill 0.5-1
rofi 1.3.1-1
rsync 3.1.2-2
rubberband 1.8.1-3
ruby 2.4.0-1
ruby-bundler 1.14.4-1
run-parts 4.8.1-1
