acl 2.2.52-3
texinfo 6.3-1
thermald 1.5.4-2
thin-provisioning-tools 0.6.3-1
thunar 1.6.10-3
toilet 0.3-1
tslib 1.2-1
ttf-dejavu 2.37-1
tzdata 2016j-1
udisks2 2.1.8-1
unibilium 1.2.0-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
urxvt-perls 2.2-1
usbutils 008-1
util-linux 2.28.2-2
v4l-utils 1.10.1-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
virtualgl 2.5.1-1
vte-common 0.46.1-1
vte3-ng 0.46.1.a-1
vulkan-icd-loader 1.0.37.0-1
w3m 0.5.3.git20161120-1
wavpack 5.0.0-1
wayland 1.12.0-1
wayland-protocols 1.7-1
webkit2gtk 2.14.2-2
webkitgtk 2.4.11-3
weechat 1.6-2
which 2.21-2
wireless_tools 30.pre9-1
wpa_actiond 1.4-2
wpa_supplicant 1:2.6-4
x265 2.2-1
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-1
xcursor-vanilla-dmz 0.4.4-1
xdg-utils 1.1.1-4
xdo 0.5.3-1
xextproto 7.3.0-1
xf86-input-libinput 0.22.0-1
xf86-video-intel 1:2.99.917+746+g169c74f-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfconf 4.12.1-1
xfsprogs 4.8.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.19-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.4-1
xorg-server-common 1.18.4-1
xorg-setxkbmap 1.3.1-1
xorg-utils 7.6-9
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xinit 1.3.4-4
xorg-xkbcomp 1.3.1-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwininfo 1.1.3-1
xproto 7.0.31-1
xsel 1.2.0.20160929-1
xtitle 0.3-1
xvidcore 1.3.4-1
xz 5.2.2-2
yabar 0.4.0-2
yajl 2.1.0-1
zathura 0.3.6-3
zenity 3.22.0+1+gcd1647c-1
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.8-7
zsh 5.3.1-1
